NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,436.574339901705
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,431.044071300781
b38a03232f43b11c9d0788abaf060f7366053b6d,572.913503339292
70b682d9a3636be23f6120fa9d6b164eb3c6002d,4.13019073966419
715494628a50142ce8cb17191cfe6d0f3cae0934,552.99583819967
e656d6bad65c93fb2880f1eba5037008c8e75774,471.773886444906
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,551.470869321026
11539e86171bf07d3a36f09377d7f54ebcc8406a,427.294081132087
043c544a2104aa8a9849f1a703a08d37a2f16839,461.046040689651
76ba050e64ad100b856f0eaabd8f539d5c7dd185,471.343282628566
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,0
db4da599aab5bb08dce27094a35fd3e36cd0abce,0
940aede382ccb332fab15d413217695ec44ca765,465.212605049359
9ad714b116da76d878dd399d187fccc2dd13dd63,573.154092237013
dd34464a4d780b12a089347ad580418ac57a3055,518.821596594113
f837a4cb05a5fd59d20138182f5e8c721eadd584,480.090262625758
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,0
ca8477c8493b09f34d17bb287f9bacf2dd744c32,0
8b0c675d7fde14953668269d378c588f0df0498b,0
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,380.804821636199
3d203727f27abd83b71732d88d8cb1cc099f363b,438.530818765219
d30d31c8ff45094e9a992c63d4a6f68b245a341a,76.4446437743716
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,0
cbc301183dec912f3513ca766bf03dd565f3a38f,484.121186491753
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,620.214002278263
11282da1ee78c8db45a041db4c744e33df489df0,440.290427558176
03c67f683a415c2ea09b582248bd4cb08528c19d,591.611652918565
046e844fb06a07ba30b41521f0065a8d9c6e5024,393.21080400229
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,494.415361765347
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,16.3246561595244
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,0
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,421.95609320197
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,552.885296548388
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,485.725787917855
